Verb,Davies,WordList,SRLF,Verb,Davies,WordList,SRLF
amar,"80,242","1,318,934",4.698113208,necesitar,"593,469","6,284,798",6.40425532
atar,"15,876","385,409",1.61702128,ordenar,"65,158","1,542,163",5.08510638
bailar,"29,935","507,068",4.53191489,pedir,"432,187","5,745,291",5.76595745
conseguir,"129,144","5,927,320",5.41509434,permitir,"935,997","10,716,645",4.4893617
creer,"537,246","10,072,974",6.094339623,prestar,"73,724","1,676,094",4.65957447
dejar,"696,519","12,291,917",6.06382979,quedar,"947,469","11,001,459",5.36170213
desear,"148,807","3,100,788",4.14893617,querer,"1,263,949","17,719,703",6.55319149
doler,"69,627","392,568",5.547169811,robar,"28,182","862,804",3.08510638
enviar,"766,523","3,171,222",4.65957447,sugerir,"88,224","1,018,893",3.29787234
esperar,"1,409,514","7,842,036",5.80851064,tener,"8,031,798","78,536,610",6.981132075
estar,"10,180,830","69,904,166",7.20754717,tomar,"506,707","8,845,084",6.25531915
excluir,"53,412","576,867",3.094339623,tratar,"590,952","9,516,595",5.63829787
faltar,"182,742","2,115,453",4.615384615,valorar,"113,028","1,415,326",3.22641509
gustar,"541,858","5,436,043",6.641509434,viajar,"78,141","1,679,151",4.34042553
haber,"7,679,109","126,530,030",6.433962264,vivir,"599,425","6,933,950",5.509433962