Participant,amar,atar,bailar,conseguir,creer,dejar,desear,doler,enviar,esperar,estar,excluir,faltar,gustar,haber,necesitar,ordenar,pedir,permitir,prestar,quedar,querer,robar,sugerir,tener,tomar,tratar,valorar,viajar,vivir
HSP03,7,2,6,6,7,8,6,6,4,6,8,4,5,7,7,7,5,6,6,6,7,7,6,7,7,6,7,5,5,6
HSP01,7,2,7,3,7,4,3,6,2,5,8,3,2,7,5,6,2,2,4,4,6,6,1,1,7,3,6,1,2,5
HSP06,3,3,5,4,8,8,6,8,8,8,8,4,8,9,9,8,6,8,7,5,8,8,5,4,8,8,6,3,8,6
HSP08,4,0,2,2,5,2,1,1,1,1,4,1,1,3,4,3,1,2,1,2,2,4,1,1,2,2,1,1,1,1
HSP14,3,1,3,4,5,4,4,2,4,5,6,2,2,4,2,5,2,2,3,2,3,5,1,3,6,6,6,3,2,5
HSP11,4,4,9,9,9,9,4,9,4,9,9,4,4,8,8,9,9,9,9,9,9,9,4,4,9,3,9,2,7,9
HSP07,6,0,6,6,6,6,5,7,7,7,7,2,6,9,6,8,8,8,6,8,6,9,6,2,8,8,7,2,7,8
HSP05,2,1,1,1,5,5,1,1,1,2,5,1,1,5,5,5,2,5,1,1,1,5,1,1,6,2,1,1,1,3
HSP04,6,0,4,6,6,6,3,6,6,6,6,4,4,8,4,7,3,7,3,7,7,8,4,7,7,7,7,3,7,8
HSP13,7,0,4,6,6,6,4,4,4,5,7,3,4,6,6,7,4,4,4,4,4,6,4,0,7,6,7,4,4,5
HSP12,7,3,5,8,6,8,6,7,7,7,9,5,7,9,9,9,9,9,8,7,9,9,3,5,7,6,6,8,6,6
HSP10,7,0,7,9,9,9,7,9,6,9,9,4,9,9,9,9,7,9,6,6,9,9,5,4,9,9,9,4,5,7
HSP16,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9
HSP15,1,0,4,3,4,3,0,3,2,5,7,0,2,6,3,4,4,0,0,1,1,4,0,0,4,1,1,0,2,2
HSP02,5,2,7,6,6,5,3,6,7,7,8,2,3,7,7,6,6,6,3,3,3,7,2,1,7,5,5,1,5,4
HSP24,4,1,2,6,6,5,3,5,5,4,7,1,3,5,5,5,4,4,1,2,0,4,1,1,7,5,5,2,3,3
HSP17,4,1,3,5,6,6,5,4,3,6,8,2,3,5,6,5,4,4,3,3,3,7,2,2,7,8,4,2,2,2
HSP20,3,1,4,4,5,5,4,5,5,5,5,3,4,4,5,5,4,3,3,3,3,4,2,2,5,5,5,1,2,3
HSP21,6,1,5,7,9,6,4,5,3,6,9,2,3,9,9,8,5,6,6,5,5,9,5,4,7,9,6,1,3,4
HSP23,7,1,3,2,3,4,1,3,4,3,7,1,2,4,1,3,2,3,2,2,2,4,0,1,6,3,2,2,4,4
HSP28,4,0,3,4,3,5,3,4,3,5,6,1,3,6,6,6,6,6,4,4,6,6,2,1,7,7,7,2,4,5
HSP25,7,1,6,5,6,7,4,6,6,6,8,5,6,8,9,7,5,5,4,5,6,8,3,3,8,8,6,4,5,7
HSP27,9,1,5,9,9,9,5,9,9,9,9,1,9,9,9,9,9,9,9,2,9,9,1,1,9,9,9,4,4,9
HSP29,4,1,5,7,7,8,6,4,6,7,8,4,7,8,8,5,8,7,4,5,8,8,4,3,8,7,8,3,5,4
HSP35,7,1,5,9,9,9,7,7,9,9,9,5,8,9,9,8,8,8,6,7,8,9,4,7,9,9,8,5,6,7
HSP31,6,1,8,9,9,9,9,8,8,9,9,7,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,6,9
HSP32,5,0,3,5,5,5,3,5,1,3,4,1,3,4,5,5,1,5,1,1,4,5,2,1,6,6,4,1,3,5
HSP19,4,2,0,5,4,4,4,4,3,4,6,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
HSP30,6,0,6,7,7,8,2,5,1,6,9,5,5,7,5,4,2,4,6,7,6,5,4,2,6,5,4,2,2,5
HSP33,5,0,3,5,5,4,4,9,1,4,5,1,2,5,6,6,4,6,2,3,3,6,1,2,7,8,4,1,2,2
HSP39,7,5,5,6,6,6,6,7,8,7,7,3,6,6,8,7,8,7,7,7,6,8,3,7,8,8,7,7,7,7
HSP22,2,1,3,5,5,5,1,4,5,5,6,4,5,5,5,5,4,5,4,4,3,5,2,2,6,7,5,5,3,5
HSP41,1,0,2,2,4,4,1,2,2,4,7,1,2,3,7,7,5,3,2,2,6,6,2,2,8,3,2,2,2,4
HSP42,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,2,4
HSP45,2,0,2,5,5,5,4,4,4,5,6,3,5,6,6,4,3,4,3,2,5,5,2,3,5,5,5,2,2,2
HSP46,6,3,7,7,7,5,5,6,3,6,8,4,6,8,8,7,6,6,5,6,5,7,3,4,7,8,7,6,6,7
HSP47,6,6,4,5,6,6,3,5,3,6,9,3,4,7,6,7,7,7,6,6,7,7,4,3,9,9,8,6,5,6
HSP48,2,0,1,4,5,5,2,4,2,4,6,1,2,3,4,5,3,4,3,4,3,4,2,1,5,4,5,2,3,2